Median age of Males,Females,sa2code,sa2name,Males,Median age of Females,Median age of Persons,Persons,Sex Ratio,People aged 65 years and over,People aged 15–64 years,People aged 0–14 years
29.0,15,8ACTE01021028,Molonglo,14,35.4,40.0,29,93.3,10.3,79.3,10.3

44.3,16,8ACTE01021029,Namadgi,16,21.8,41.3,32,100.0,6.3,81.3,12.5

45.9,353,8ACTE01031030,ACT - East,574,47.3,46.6,927,162.6,16.6,73.1,10.2

29.7,19,8ACTE01031031,Hume,304,40.5,30.0,323,1600.0,2.5,97.2,0.3

19.0,15,8ACTE01031032,Kowen,20,6.9,18.5,35,133.3,2.9,68.6,28.6

43.3,112,8ACTE01031033,Majura,133,35.0,41.5,245,118.8,14.3,72.7,13.1

32.5,2922,8ACTE01041034,Amaroo,2750,32.4,32.4,5672,94.1,4.7,66.3,29.0

30.4,883,8ACTE01041035,Bonner,837,28.1,29.2,1720,94.8,3.1,71.0,25.9

29.1,878,8ACTE01041036,Casey,864,28.1,28.6,1742,98.4,3.8,74.7,21.4

30.3,345,8ACTE01041037,Crace,311,27.8,28.8,656,90.1,2.1,83.8,14.0

31.9,1337,8ACTE01041038,Forde,1337,30.4,31.1,2674,100.0,4.7,70.0,25.3

29.3,2129,8ACTE01041039,Franklin,2271,28.6,28.9,4400,106.7,3.1,75.7,21.2

28.7,2867,8ACTE01041040,Gungahlin,2950,29.4,29.0,5817,102.9,3.3,75.4,21.3

23.5,5,8ACTE01041041,Gungahlin - East,19,26.8,24.0,24,380.0,4.2,83.3,12.5

64.5,2,8ACTE01041042,Gungahlin - West,1,77.5,69.5,3,50.0,66.7,33.3,0.0

46.5,183,8ACTE01041043,Hall,162,41.3,42.8,345,88.5,17.1,62.9,20.0

31.3,2281,8ACTE01041044,Harrison,2242,30.4,30.7,4523,98.3,2.4,69.1,28.4

53.8,4,8ACTE01041045,Mitchell,4,31.5,51.5,8,100.0,12.5,62.5,25.0

30.6,4692,8ACTE01041046,Ngunnawal,4537,32.2,31.4,9229,96.7,6.3,70.0,23.7

37.2,3567,8ACTE01041047,Nicholls,3536,38.1,37.7,7103,99.1,8.4,68.8,22.8

32.3,2970,8ACTE01041048,Palmerston,2848,33.3,32.8,5818,95.9,6.2,73.5,20.2

