Median age of Males,Females,sa2code,sa2name,Males,Median age of Females,Median age of Persons,Persons,Sex Ratio,People aged 65 years and over,People aged 15–64 years,People aged 0–14 years

38.8,3589,1GSYD02011028,Avoca Beach - Copacabana,3615,40.6,39.9,7204,100.7,11.9,66.8,21.4

45.0,5343,1GSYD02011029,Box Head - MacMasters Beach,5319,46.6,45.8,10662,99.6,20.5,61.3,18.2

43.1,2204,1GSYD02011030,Calga - Kulnura,2344,40.8,41.9,4548,106.4,14.5,66.1,19.4

44.5,7511,1GSYD02011031,Erina - Green Point,6567,49.1,47.2,14078,87.4,26.3,57.0,16.6

37.7,9750,1GSYD02011032,Gosford - Springfield,8927,40.4,39.1,18677,91.6,16.9,67.1,16.0

32.2,3336,1GSYD02011033,Kariong,3313,33.9,33.2,6649,99.3,8.1,67.3,24.6

40.6,3955,1GSYD02011034,Kincumber - Picketts Valley,3421,47.8,44.5,7376,86.5,25.4,56.8,17.8

35.7,3421,1GSYD02011035,Narara,3276,38.4,37.2,6697,95.8,10.9,68.7,20.4

35.1,4151,1GSYD02011036,Niagara Park - Lisarow,4133,36.9,36.2,8284,99.6,9.4,67.8,22.8

41.8,3308,1GSYD02011037,Point Clare - Koolewong,3187,45.3,43.7,6495,96.3,22.3,58.9,18.8

41.2,3542,1GSYD02011038,Saratoga - Davistown,3315,42.8,42.1,6857,93.6,19.2,61.8,19.0

39.2,6552,1GSYD02011039,Terrigal - North Avoca,6430,42.0,40.6,12982,98.1,15.9,66.8,17.3

42.5,12128,1GSYD02011040,Umina - Booker Bay - Patonga,11134,45.9,44.2,23262,91.8,23.1,59.3,17.6

37.5,4735,1GSYD02011041,Wamberal - Forresters Beach,4654,39.4,38.5,9389,98.3,13.5,65.8,20.8

44.5,7097,1GSYD02011042,Woy Woy - Blackwall,6583,48.3,46.5,13680,92.8,24.9,59.6,15.5

37.9,6048,1GSYD02011043,Wyoming,5493,43.4,40.8,11541,90.8,20.6,60.5,18.9

38.4,11657,1GSYD02021044,Bateau Bay - Killarney Vale,10386,43.0,40.8,22043,89.1,20.3,60.8,18.8

31.7,5645,1GSYD02021045,Blue Haven - San Remo,5458,33.4,32.5,11103,96.7,11.2,63.1,25.7

42.7,4668,1GSYD02021046,Budgewoi - Buff Point - Halekulani,4544,44.9,43.7,9212,97.3,22.8,59.7,17.4

36.2,8106,1GSYD02021047,Chittaway Bay - Tumbi Umbi,7668,39.6,37.9,15774,94.6,15.0,64.0,21.0

39.2,11084,1GSYD02021048,Gorokan - Kanwal - Charmhaven,10251,43.0,41.2,21335,92.5,20.6,60.3,19.1

42.3,1533,1GSYD02021049,Jilliby - Yarramalong,1539,41.6,41.9,3072,100.4,12.6,67.4,20.1

44.1,5312,1GSYD02021050,Lake Munmorah - Mannering Park,5017,46.1,45.1,10329,94.4,25.6,56.5,17.9

35.7,2478,1GSYD02021051,Ourimbah - Fountaindale,2450,38.0,37.0,4928,98.9,10.0,69.1,20.9

42.5,2743,1GSYD02021052,Summerland Point - Gwandalan,2789,42.8,42.6,5532,101.7,19.1,60.9,20.0

41.2,7418,1GSYD02021053,The Entrance,6964,43.5,42.3,14382,93.9,21.5,61.5,17.1

45.5,4758,1GSYD02021054,Toukley - Norah Head,4508,48.6,47.0,9266,94.7,26.4,58.2,15.4

36.2,2620,1GSYD02021055,Tuggerah - Kangy Angy,2512,35.7,36.0,5132,95.9,13.6,64.2,22.1

35.1,6541,1GSYD02021056,Warnervale - Wadalba,6246,35.3,35.2,12787,95.5,13.1,60.2,26.7

37.3,4262,1GSYD02021057,Wyong,4147,39.8,38.7,8409,97.3,14.9,65.1,20.0

36.4,11261,1GSYD15011290,Baulkham Hills (East),11003,38.0,37.2,22264,97.7,13.6,65.2,21.2

37.7,9796,1GSYD15011291,Baulkham Hills (West) - Bella Vista,9602,38.4,38.1,19398,98.0,9.5,70.6,19.8

37.3,14493,1GSYD15011292,Castle Hill,14190,39.7,38.6,28683,97.9,12.8,68.5,18.7

40.1,13217,1GSYD15011293,Cherrybrook,12236,43.7,42.2,25453,92.6,16.5,65.8,17.7

40.7,3083,1GSYD15011294,Glenhaven,2985,43.9,42.5,6068,96.8,15.7,66.6,17.7

34.3,12468,1GSYD15011295,Kellyville,12218,35.2,34.8,24686,98.0,7.3,68.1,24.6

40.3,6590,1GSYD15011296,West Pennant Hills,6433,42.2,41.3,13023,97.6,10.9,72.3,16.8

40.7,10536,1GSYD15021297,Dural - Kenthurst - Wisemans Ferry,10503,41.4,41.1,21039,99.7,14.7,65.9,19.5

41.5,2671,1GSYD15021298,Galston - Laughtondale,2625,43.0,42.2,5296,98.3,17.0,64.4,18.7

44.8,1248,1GSYD15031299,Bilpin - Colo - St Albans,1458,42.4,43.7,2706,116.8,16.8,64.1,19.1

37.8,10840,1GSYD15031300,Kurrajong Heights - Ebenezer,11183,38.9,38.4,22023,103.2,10.4,68.5,21.1

37.2,4545,1GSYD15041301,Pitt Town - McGraths Hill,4724,37.9,37.5,9269,103.9,11.4,67.2,21.4

33.9,9247,1GSYD15041302,Rouse Hill - Beaumont Hills,9587,34.7,34.4,18834,103.7,6.4,66.2,27.3

31.9,7895,1GSYD16011303,Blacktown (East) - Kings Park,8293,31.8,31.9,16188,105.0,10.2,69.9,20.0

33.3,8756,1GSYD16011304,Blacktown (North) - Marayong,8785,35.8,34.5,17541,100.3,12.0,67.7,20.3

33.6,13943,1GSYD16011305,Blacktown (South),13660,35.0,34.3,27603,98.0,12.3,66.3,21.4

32.2,10272,1GSYD16011306,Doonside - Woodcroft,10024,34.8,33.6,20296,97.6,8.2,70.7,21.1

36.0,12517,1GSYD16011307,Lalor Park - Kings Langley,12354,37.3,36.7,24871,98.7,11.7,67.8,20.4

35.2,11697,1GSYD16011308,Seven Hills - Toongabbie,11666,35.8,35.5,23363,99.7,11.5,68.4,20.2

32.0,7892,1GSYD16021309,Glenwood,7964,33.0,32.6,15856,100.9,5.1,68.9,25.9

31.3,11171,1GSYD16021310,Parklea - Kellyville Ridge,11891,31.1,31.2,23062,106.4,4.2,69.0,26.8

31.2,13380,1GSYD16021311,Quakers Hill - Acacia Gardens,13377,32.3,31.8,26757,100.0,5.4,70.6,24.0

36.4,5701,1GSYD16021312,Riverstone - Marsden Park,5969,37.0,36.7,11670,104.7,12.4,67.6,20.0

27.5,9892,1GSYD16031313,Bidwill - Hebersham - Emerton,9517,31.9,29.8,19409,96.2,9.0,64.1,26.9

29.9,4215,1GSYD16031314,Glendenning Dean Park,4235,31.2,30.5,8450,100.5,5.9,68.0,26.1

29.2,10182,1GSYD16031315,Hassall Grove - Plumpton,10119,31.1,30.1,20301,99.4,5.0,69.7,25.3

28.8,8511,1GSYD16031316,Lethbridge Park - Tregear,8229,30.9,29.9,16740,96.7,10.2,63.1,26.8

30.5,11254,1GSYD16031317,Mount Druitt - Whalan,11277,31.2,30.8,22531,100.2,9.1,65.4,25.5

21.3,7,1GSYD16031318,Prospect Reservoir,11,69.5,31.8,18,157.1,33.3,66.7,0.0

33.0,10339,1GSYD16031319,Rooty Hill - Minchinbury,10003,34.9,33.9,20342,96.8,9.9,68.7,21.4

64.0,4,1GSYD17011320,Banksmeadow,10,73.0,65.0,14,250.0,64.3,35.7,0.0

36.8,4733,1GSYD17011321,Botany,4662,37.8,37.3,9395,98.5,12.9,66.0,21.1

35.6,10476,1GSYD17011322,Mascot - Eastlakes,10563,36.6,36.1,21039,100.8,13.9,69.6,16.5

37.4,5693,1GSYD17011323,Pagewood - Hillsdale - Daceyville,5528,39.3,38.4,11221,97.1,15.5,67.6,16.9

.,0,1GSYD17011324,Port Botany Industrial,0,.,.,0,.,.,.,.

44.8,1,1GSYD17011325,Sydney Airport,4,79.5,49.5,5,400.0,40.0,60.0,0.0

36.7,13116,1GSYD17021326,Marrickville,13071,37.1,36.9,26187,99.7,12.8,72.6,14.6

35.8,9997,1GSYD17021327,Petersham - Stanmore,10023,34.8,35.3,20020,100.3,9.3,77.0,13.7

36.1,3672,1GSYD17021328,Sydenham - Tempe - St Peters,3984,36.7,36.4,7656,108.5,9.4,76.2,14.3

36.1,4545,1GSYD17031329,Darlinghurst,6453,32.4,34.4,10998,142.0,7.2,88.4,4.4

34.7,7188,1GSYD17031330,Erskineville - Alexandria,7713,32.9,33.8,14901,107.3,4.9,84.7,10.4

34.1,8999,1GSYD17031331,Glebe - Forest Lodge,8706,33.8,34.0,17705,96.7,9.1,81.6,9.3

32.5,11500,1GSYD17031332,Newtown - Camperdown - Darlington,11668,30.5,31.5,23168,101.5,5.4,85.7,8.9

37.4,9009,1GSYD17031333,Potts Point - Woolloomooloo,10667,35.8,36.6,19676,118.4,11.3,84.0,4.7

30.9,9768,1GSYD17031334,Pyrmont - Ultimo,10360,30.3,30.6,20128,106.1,5.5,86.9,7.5

34.7,7927,1GSYD17031335,Redfern - Chippendale,9928,32.6,33.7,17855,125.2,10.0,83.6,6.4

34.9,7098,1GSYD17031336,Surry Hills,9703,32.4,33.8,16801,136.7,8.6,86.3,5.2

30.2,12020,1GSYD17031337,Sydney - Haymarket - The Rocks,12962,29.3,29.7,24982,107.8,6.2,89.1,4.7

33.3,10693,1GSYD17031338,Waterloo - Beaconsfield,12013,32.3,32.8,22706,112.3,10.1,80.0,9.9

35.0,9745,1GSYD18011339,Bondi - Tamarama - Bronte,9584,34.8,34.9,19329,98.3,11.0,74.8,14.2

33.7,10221,1GSYD18011340,Bondi Beach - North Bondi,10719,33.5,33.6,20940,104.9,8.4,77.7,13.9

36.2,8791,1GSYD18011341,Bondi Junction - Waverly,8309,37.3,36.8,17100,94.5,15.3,70.2,14.5

.,0,1GSYD18011342,Centennial Park,0,.,.,0,.,.,.,.

37.2,13508,1GSYD18011343,Double Bay - Bellevue Hill,12368,39.6,38.5,25876,91.6,17.0,69.1,13.9

37.2,5786,1GSYD18011344,Dover Heights,5412,38.3,37.8,11198,93.5,14.3,67.5,18.2

36.3,7945,1GSYD18011345,Paddington - Moore Park,7508,35.0,35.7,15453,94.5,11.0,77.3,11.7

38.3,6568,1GSYD18011346,Rose Bay - Vaucluse - Watsons Bay,6016,39.9,39.2,12584,91.6,15.5,64.8,19.7

39.6,4213,1GSYD18011347,Woollahra,3524,41.2,40.5,7737,83.6,18.9,67.0,14.1

35.4,13013,1GSYD18021348,Coogee - Clovelly,12173,35.8,35.6,25186,93.5,11.4,73.2,15.4

28.2,14174,1GSYD18021349,Kensington - Kingsford,14753,29.7,28.9,28927,104.1,10.6,78.1,11.3

39.6,10717,1GSYD18021350,Malabar - La Perouse - Chifley,11780,42.3,40.8,22497,109.9,16.4,66.6,17.0

35.1,16247,1GSYD18021351,Maroubra,15310,37.9,36.6,31557,94.2,14.9,69.5,15.6

34.5,15409,1GSYD18021352,Randwick,14181,35.1,34.8,29590,92.0,12.0,73.7,14.2

31.7,16320,1GSYD19011353,Bankstown,16162,32.1,31.9,32482,99.0,9.9,67.5,22.5

